# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 13 23:14:55 2021
#
# User preference: *
#
# CONSTRAINT:  where (soltype like '%confirmed%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_massestr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
#
pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
2MASS J19383260+4603591 b,Published Confirmed,0,416.00000000,2.00000000,-2.00000000,0,603.87700,31.78300,-31.78300,0
2MASS J21402931+1625183 A b,Published Confirmed,0,7336.50000000,1934.50000000,-584.00000000,0,6657.48000,26629.91000,-6657.48000,0
51 Peg b,Published Confirmed,0,4.23100000,,,0,146.20180,19.06980,-3.17830,0
55 Cnc b,Published Confirmed,0,14.60000000,,,0,254.25000,,,0
55 Cnc b,Published Confirmed,0,14.46531400,0.00090000,-0.00095000,0,266.96600,41.63400,-9.85200,0
55 Cnc b,Published Confirmed,0,14.65152000,0.00015000,-0.00015000,0,263.97850,1.04880,-1.04880,0
55 Cnc c,Published Confirmed,0,44.37300000,0.02000000,-0.01800000,0,56.69850,8.74000,-2.47900,0
55 Cnc c,Published Confirmed,0,44.41750000,0.00730000,-0.00730000,0,54.47380,1.74800,-1.74800,0
55 Cnc d,Published Confirmed,0,4867.00000000,25.00000000,-26.00000000,0,1226.77000,190.69000,-47.67000,0
55 Cnc d,Published Confirmed,0,4825.00000000,39.00000000,-39.00000000,0,1232.49300,21.61200,-21.61200,0
55 Cnc e,Published Confirmed,0,0.73700000,,,0,7.74000,0.37000,-0.30000,0
