,x_rv,y_rv,y_rv_err,x_astrometry,y_ra,y_dec,y_ra_err,y_dec_err
0,100.0,-4.782902408749305,0.3,108.0,-0.00014516243812111906,0.0004061863538471779,6e-05,6e-05
1,101.0,-4.754374819857381,0.3,126.0,-0.00020681419605473775,0.0002915910337747059,6e-05,6e-05
2,102.0,-5.172920254089436,0.3,144.0,-0.00021935580036205055,0.00025413619535077616,6e-05,6e-05
3,103.0,-4.841093818637653,0.3,162.0,-0.0001178002507610906,0.00032730019852868426,6e-05,6e-05
4,104.0,-4.2931088171040095,0.3,180.0,-0.00018760942126782492,0.00042331597452244945,6e-05,6e-05
5,105.0,-4.681195439120576,0.3,198.0,-0.0001246730547613745,0.0003259397206394685,6e-05,6e-05
6,106.0,-4.461869446770613,0.3,216.0,-7.856294862982087e-05,0.0002708357533315758,6e-05,6e-05
7,107.0,-4.83103291005732,0.3,234.0,-3.576809109532662e-05,0.0003336550518708003,6e-05,6e-05
8,108.0,-4.212005473734763,0.3,252.0,-0.00012914872916444707,0.0003626432268457782,6e-05,6e-05
9,109.0,-4.833072557823528,0.3,270.0,-5.849064001256877e-05,0.00032701603496619147,6e-05,6e-05
10,110.0,-4.725883475784519,0.3,288.0,-0.00010935754820841229,0.00034125371725185667,6e-05,6e-05
11,111.0,-4.833340853438903,0.3,306.0,-0.00010056590878785409,0.0003305136611503613,6e-05,6e-05
12,112.0,-4.581998238870628,0.3,324.0,-2.0108623608254467e-05,0.00023154442948117039,6e-05,6e-05
13,113.0,-4.706536563927533,0.3,342.0,-2.19645430782515e-05,0.00039334240302085104,6e-05,6e-05
14,114.0,-4.435634881038006,0.3,360.0,-7.996795886858718e-06,0.0004446071194014906,6e-05,6e-05
15,115.0,-4.399095353682299,0.3,378.0,4.8240657275720555e-06,0.0003197109876153768,6e-05,6e-05
16,116.0,-4.652436158669346,0.3,396.0,-5.4338511251535634e-05,0.0003370632666998569,6e-05,6e-05
17,117.0,-5.007787821809254,0.3,414.0,7.213758498547066e-05,0.0003638141084247902,6e-05,6e-05
18,118.0,-4.910957412245349,0.3,432.0,7.716388732448886e-05,0.0003601514560522931,6e-05,6e-05
19,119.0,-4.380292329512733,0.3,450.0,0.00013577234612835144,0.0002669992168807099,6e-05,6e-05
20,120.0,-4.487863753554052,0.3,468.0,7.002392813869158e-05,0.0003787182719715665,6e-05,6e-05
21,121.0,-4.479287818583953,0.3,486.0,0.00013090322936560488,0.0003358414651599619,6e-05,6e-05
22,122.0,-4.584618513025059,0.3,504.0,0.00010188462758205233,0.0003118942812602458,6e-05,6e-05
23,123.0,-4.612593989073455,0.3,522.0,0.00021549855003887982,0.0002439621929754948,6e-05,6e-05
24,124.0,-4.516158634065098,0.3,540.0,0.0001099096983255618,0.00023430547743636857,6e-05,6e-05
25,125.0,-4.276593996306614,0.3,558.0,0.0001695830372573191,0.0002885181831005635,6e-05,6e-05
26,126.0,-4.422200415558281,0.3,576.0,8.811823678470782e-05,0.00037676119252456566,6e-05,6e-05
27,127.0,-4.880676109890585,0.3,594.0,0.00010575639216379166,0.0002661577140918053,6e-05,6e-05
28,128.0,-4.370734867252301,0.3,612.0,0.00014912780875167477,0.0002796516710634571,6e-05,6e-05
29,129.0,-4.643489141514425,0.3,630.0,0.00013745597968086267,0.00025444573146158115,6e-05,6e-05
30,130.0,-4.602704875621295,0.3,648.0,0.00010691610579463202,0.00024708244410773293,6e-05,6e-05
31,131.0,-4.195637992743812,0.3,666.0,3.755067259370406e-05,0.00019425080459769634,6e-05,6e-05
32,132.0,-4.359961649032571,0.3,684.0,0.00027124093579816906,0.00027051238076108536,6e-05,6e-05
33,133.0,-4.661511137100398,0.3,702.0,0.00029434039865996065,0.00021116868186882678,6e-05,6e-05
34,134.0,-4.021591700679572,0.3,720.0,0.00023360243089876894,0.0001953592370477216,6e-05,6e-05
35,135.0,-3.949119000036619,0.3,738.0,0.0002140307400165304,0.00015557466055166568,6e-05,6e-05
36,136.0,-4.496092704588657,0.3,756.0,0.0002639474445939921,0.0003069589675802049,6e-05,6e-05
37,137.0,-4.439127400971239,0.3,774.0,0.00034524915703832397,0.00031126016446166754,6e-05,6e-05
38,138.0,-4.6104393490911315,0.3,792.0,0.0002542470434493807,0.0003217263226242006,6e-05,6e-05
39,139.0,-4.754918873620009,0.3,810.0,0.00033991482651358313,0.0002516358058340383,6e-05,6e-05
40,140.0,-4.288452009401067,0.3,828.0,0.0003244114832734392,0.00024185367432533644,6e-05,6e-05
41,141.0,-5.040694613578703,0.3,846.0,0.0004029532831288094,0.00018495047096039316,6e-05,6e-05
42,142.0,-4.811826300623814,0.3,864.0,0.00023692762762249152,0.0002881826005472209,6e-05,6e-05
43,143.0,-4.513388096963691,0.3,882.0,0.0003598791582962618,0.00017186541884994908,6e-05,6e-05
