,x_rv,y_rv,y_rv_err,x_astrometry,y_ra,y_dec,y_ra_err,y_dec_err
0,3672.0,-9.254800261641844,0.3,108.0,-4.5547911915616454e-05,0.00035173736793060663,6e-05,6e-05
1,3673.0,-8.864030050152223,0.3,144.0,-0.00014190524974452872,0.00031043988749361297,6e-05,6e-05
2,3674.0,-8.814101050896674,0.3,180.0,1.4027258388393397e-05,0.0002620221843784756,6e-05,6e-05
3,3675.0,-9.338069735016028,0.3,216.0,-0.0001243161675000392,0.00035842704417586775,6e-05,6e-05
4,3676.0,-9.459496774111301,0.3,252.0,-0.00010295144948451811,0.0002873846346198174,6e-05,6e-05
5,3677.0,-8.923123032472924,0.3,288.0,-5.860248704628562e-05,0.00037106670326817425,6e-05,6e-05
6,3678.0,-9.0641328092827,0.3,324.0,-8.067926361448734e-05,0.0003017313089279564,6e-05,6e-05
7,3679.0,-9.073930263698546,0.3,360.0,5.8991930151823204e-05,0.0002942125642683912,6e-05,6e-05
8,3680.0,-8.544486891139174,0.3,396.0,-4.111744674659535e-05,0.0003465510738382926,6e-05,6e-05
9,3681.0,-8.855475389810293,0.3,432.0,9.121717130515069e-05,0.00042448647009166933,6e-05,6e-05
10,3682.0,-8.705966136284879,0.3,468.0,8.210557786420503e-05,0.0003272741286574095,6e-05,6e-05
11,3683.0,-8.325241243603276,0.3,504.0,0.0001234507782660105,0.0003709160035551163,6e-05,6e-05
12,3684.0,-8.998701852075593,0.3,540.0,0.000211780402453885,0.000259073915445011,6e-05,6e-05
13,3685.0,-8.593119357881077,0.3,576.0,0.0001541134043373711,0.0002918034724603346,6e-05,6e-05
14,3686.0,-8.532617334840875,0.3,612.0,0.00020924185765676954,0.000258073178441409,6e-05,6e-05
15,3687.0,-9.005449549292868,0.3,648.0,0.00019138831015507916,0.0003844671530952223,6e-05,6e-05
16,3688.0,-8.812084309978388,0.3,684.0,0.00016672629815431766,0.00030562512262964517,6e-05,6e-05
17,3689.0,-9.044321697936116,0.3,720.0,0.0002510774745383798,0.00023993734133003421,6e-05,6e-05
18,3690.0,-8.707215601387324,0.3,756.0,0.0002497072337993336,0.00016580449662519255,6e-05,6e-05
19,3691.0,-8.366827778217994,0.3,792.0,0.00030426232132085894,0.00020857307827675737,6e-05,6e-05
20,3692.0,-8.732523815469108,0.3,828.0,0.000256112450118629,0.00018143831450812174,6e-05,6e-05
21,3693.0,-8.789526484403895,0.3,864.0,0.0002691842577588434,0.00024286357298261617,6e-05,6e-05
22,3694.0,-8.833663110636344,0.3,900.0,0.00048287754210423747,0.00036177097548636646,6e-05,6e-05
23,3695.0,-8.289463118652007,0.3,936.0,0.0003392221766102232,0.0002554612930098666,6e-05,6e-05
24,3696.0,-8.455469750456198,0.3,972.0,0.0003972834224262305,0.00013291578466164948,6e-05,6e-05
25,3697.0,-9.68809771524471,0.3,1008.0,0.00034633389201408173,9.035484966390958e-05,6e-05,6e-05
26,3698.0,-9.124546423465432,0.3,1044.0,0.00040483803218810106,0.00022148883270480668,6e-05,6e-05
27,3699.0,-9.216615300485774,0.3,1080.0,0.00044477958211057157,3.325380475171111e-05,6e-05,6e-05
28,3700.0,-8.574367049055741,0.3,1116.0,0.0005122915583633728,-1.3071933747043333e-05,6e-05,6e-05
29,3701.0,-9.344257998458296,0.3,1152.0,0.0004535125902043638,0.00021110144241067745,6e-05,6e-05
30,3702.0,-9.042792751921674,0.3,1188.0,0.0004165603459898306,0.0001353498650615489,6e-05,6e-05
31,3703.0,-8.87775385611076,0.3,1224.0,0.0004855133048979593,5.0628032870479786e-05,6e-05,6e-05
32,3704.0,-8.703024579703907,0.3,1260.0,0.0004751090861963457,0.00013076972615130804,6e-05,6e-05
33,3705.0,-8.912524605442528,0.3,1296.0,0.0005089183974929937,-4.375626082422834e-05,6e-05,6e-05
34,3706.0,-8.038993321474726,0.3,1332.0,0.0005475888571996946,-9.152599059606318e-06,6e-05,6e-05
35,3707.0,-9.111522204062306,0.3,1368.0,0.0004628114201889987,-2.6214303133792302e-05,6e-05,6e-05
36,3708.0,-8.577726606433284,0.3,1404.0,0.0005795623270654955,-0.00014744013282205773,6e-05,6e-05
37,3709.0,-8.869133143303781,0.3,1440.0,0.0006595830887406732,-7.45541747499231e-05,6e-05,6e-05
38,3710.0,-8.74098192435838,0.3,1476.0,0.00048226045988686365,-0.00011232736052388192,6e-05,6e-05
39,3711.0,-9.019676373856058,0.3,1512.0,0.000558414149314581,-0.00010659357862692119,6e-05,6e-05
40,3712.0,-8.987051684916572,0.3,1548.0,0.0004583099643663712,-0.00010817432757824315,6e-05,6e-05
41,3713.0,-8.556401380463042,0.3,1584.0,0.0005317965266346701,-0.00017932581494573596,6e-05,6e-05
42,3714.0,-8.61926080774338,0.3,1620.0,0.00046109754146009827,-0.00014146817085531086,6e-05,6e-05
43,3715.0,-9.197036419061952,0.3,1656.0,0.0004574623244003239,-0.0001344594812399273,6e-05,6e-05
44,3716.0,-9.232551015389916,0.3,1692.0,0.000477529862904858,-0.00028570301573234837,6e-05,6e-05
45,3717.0,-8.582188193892618,0.3,1728.0,0.0005545449587106943,-0.00012407679246189904,6e-05,6e-05
46,3718.0,-8.937086822634228,0.3,1764.0,0.0004334733177600247,-0.00017547394581525654,6e-05,6e-05
47,3719.0,-8.977939118258687,0.3,1800.0,0.0003386911381117407,-0.0002219210969430162,6e-05,6e-05
48,3720.0,-9.83976160292628,0.3,1836.0,0.0004826666907652296,-0.00014923877382755439,6e-05,6e-05
49,3721.0,-9.204038432714793,0.3,1872.0,0.00034530852967097863,-0.00024411727632284592,6e-05,6e-05
50,3722.0,-9.192614696815566,0.3,1908.0,0.00037435402355345403,-0.00031459908172706445,6e-05,6e-05
51,3723.0,-9.092322067239012,0.3,1944.0,0.0004479388954399656,-0.00022213651964110969,6e-05,6e-05
52,3724.0,-8.715017058638114,0.3,1980.0,0.0003115657279545171,-0.0002062970450223469,6e-05,6e-05
53,3725.0,-8.942735724227209,0.3,2016.0,0.0002515489886498174,-0.00031012428971156805,6e-05,6e-05
54,3726.0,-8.510479795054817,0.3,2052.0,0.00029327477694054976,-0.00025238230742089896,6e-05,6e-05
